Num_Orders,Penalty_Lost,Mechanism,Fleet_Scale,Solver,Replications,Optimal_Rate,Mean_Total_Cost,SD_Total_Cost,Max_Total_Cost,Mean_Unserved_Rate,SD_Unserved_Rate,Max_Unserved_Rate,Mean_Solve_Time_Sec,SD_Solve_Time_Sec,Max_Solve_Time_Sec,Mean_MIP_Gap,SD_MIP_Gap,Max_MIP_Gap,Mean_Direct_Ratio,SD_Direct_Ratio,Max_Direct_Ratio,Mean_Manual_Usage,SD_Manual_Usage,Max_Manual_Usage,Mean_Auto_Usage,SD_Auto_Usage,Max_Auto_Usage
100,10.0,flexible,1.0,flexible_direct_mip,3,1.0,1691.6666666666667,87.79711460710615,1775.0,0.004,0.003477067730142742,0.0063,4.39,0.7582216034906947,4.91,0.0,0.0,0.0,0.8314222725666666,0.07397498552875538,0.880733945,8.666666666666666,0.5773502691896257,9.0,1.6666666666666667,0.5773502691896257,2.0
100,10.0,flexible,1.0,paper_candidate_mip,3,1.0,2333.3333333333335,144.33756729740645,2500.0,0.0,0.0,0.0,0.8133333333333334,0.020816659994661285,0.83,0.0,0.0,0.0,1.0,0.0,1.0,9.333333333333334,0.5773502691896257,10.0,0.0,0.0,0.0
100,10.0,flexible,1.0,paper_priority_heuristic,3,1.0,2416.6666666666665,144.33756729740645,2500.0,0.0,0.0,0.0,0.98,0.02645751311064593,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.666666666666666,0.5773502691896257,10.0,0.0,0.0,0.0
100,15.0,flexible,1.0,flexible_direct_mip,3,1.0,1708.3333333333333,94.64847243000456,1775.0,0.0021,0.003637306695894642,0.0063,3.8166666666666664,0.4705670338361298,4.3,0.0,0.0,0.0,0.7980805846333333,0.1426463052822936,0.9275471698,9.666666666666666,1.1547005383792515,11.0,2.3333333333333335,0.5773502691896257,3.0
100,15.0,flexible,1.0,paper_candidate_mip,3,1.0,2416.6666666666665,144.33756729740645,2500.0,0.0,0.0,0.0,0.81,0.019999999999999962,0.83,0.0,0.0,0.0,1.0,0.0,1.0,9.666666666666666,0.5773502691896257,10.0,0.0,0.0,0.0
100,15.0,flexible,1.0,paper_priority_heuristic,3,1.0,2416.6666666666665,144.33756729740645,2500.0,0.0,0.0,0.0,0.9666666666666667,0.011547005383792526,0.98,0.0,0.0,0.0,1.0,0.0,1.0,9.666666666666666,0.5773502691896257,10.0,0.0,0.0,0.0
100,2.0,flexible,1.0,flexible_direct_mip,3,1.0,1132.3333333333333,99.63098580930199,1210.0,0.11703333333333332,0.026750015576319456,0.1479,3.39,0.6655073252789935,3.91,0.0,0.0,0.0,0.28652306506666664,0.32629756134691823,0.6416772554,7.0,1.0,8.0,3.0,1.0,4.0
100,2.0,flexible,1.0,paper_candidate_mip,3,1.0,1793.3333333333333,177.857620959388,1950.0,0.041133333333333334,0.020269270666043542,0.0629,0.7833333333333333,0.025166114784235853,0.81,0.0,0.0,0.0,1.0,0.0,1.0,6.666666666666667,0.5773502691896257,7.0,0.0,0.0,0.0
100,20.0,flexible,1.0,flexible_direct_mip,3,1.0,1716.6666666666667,101.03629710818451,1775.0,0.0,0.0,0.0,3.996666666666666,0.5291817583149794,4.56,0.0,0.0,0.0,0.6645239216333333,0.18618760386101338,0.8215332938,10.333333333333334,1.1547005383792515,11.0,2.6666666666666665,0.5773502691896257,3.0
100,20.0,flexible,1.0,paper_candidate_mip,3,1.0,2416.6666666666665,144.33756729740645,2500.0,0.0,0.0,0.0,0.8033333333333333,0.025166114784235794,0.83,0.0,0.0,0.0,1.0,0.0,1.0,9.666666666666666,0.5773502691896257,10.0,0.0,0.0,0.0
